station_id,city_name,station_name,date,year,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
03772,London,03772 - London,1948-12-01,1948,Winter,3.1,0.8,6.9,,,58.0,6.4,,,
03772,London,03772 - London,1948-12-02,1948,Winter,9.2,4.6,11.9,,,167.0,21.2,,,
03772,London,03772 - London,1948-12-03,1948,Winter,12.3,10.7,13.5,,,180.0,21.3,,,
03772,London,03772 - London,1948-12-04,1948,Winter,8.2,1.9,10.7,,,296.0,11.9,,,
03772,London,03772 - London,1948-12-05,1948,Winter,6.1,0.8,9.1,,,125.0,19.5,,,
03772,London,03772 - London,1948-12-06,1948,Winter,10.6,8.5,12.4,,,183.0,22.3,,,
03772,London,03772 - London,1948-12-07,1948,Winter,12.9,11.9,14.1,,,184.0,33.0,,,
03772,London,03772 - London,1948-12-08,1948,Winter,10.2,8.0,12.4,,,162.0,19.7,,,
03772,London,03772 - London,1948-12-09,1948,Winter,9.9,8.0,11.3,,,188.0,30.9,,,
03772,London,03772 - London,1948-12-10,1948,Winter,9.8,8.5,10.7,,,171.0,25.6,,,
03772,London,03772 - London,1948-12-11,1948,Winter,10.8,8.5,12.4,,,145.0,22.2,,,
03772,London,03772 - London,1948-12-12,1948,Winter,9.9,6.9,11.9,,,169.0,14.0,,,
03772,London,03772 - London,1948-12-13,1948,Winter,10.3,6.9,13.0,,,181.0,20.4,,,
03772,London,03772 - London,1948-12-14,1948,Winter,12.8,11.3,14.1,,,202.0,29.8,,,
03772,London,03772 - London,1948-12-15,1948,Winter,6.5,3.0,11.3,,,258.0,18.4,,,
03772,London,03772 - London,1948-12-16,1948,Winter,5.0,3.0,9.1,,,272.0,13.9,,,
03772,London,03772 - London,1948-12-17,1948,Winter,6.8,3.0,10.7,,,313.0,10.0,,,
03772,London,03772 - London,1948-12-18,1948,Winter,6.6,4.1,8.5,,,45.0,11.5,,,
03772,London,03772 - London,1948-12-19,1948,Winter,4.9,1.9,6.9,,,50.0,17.1,,,
03772,London,03772 - London,1948-12-20,1948,Winter,4.3,3.5,5.2,,,48.0,19.4,,,
03772,London,03772 - London,1948-12-21,1948,Winter,5.8,4.1,7.4,,,45.0,16.2,,,
03772,London,03772 - London,1948-12-22,1948,Winter,3.8,2.4,4.6,,,69.0,16.9,,,
03772,London,03772 - London,1948-12-23,1948,Winter,2.7,-0.4,5.8,,,57.0,12.5,,,
03772,London,03772 - London,1948-12-24,1948,Winter,5.0,2.4,7.4,,,81.0,16.2,,,
03772,London,03772 - London,1948-12-25,1948,Winter,1.3,-3.1,4.1,,,63.0,7.6,,,
03772,London,03772 - London,1948-12-26,1948,Winter,-2.2,-7.0,-0.4,,,52.0,5.5,,,
